Record Number,PNVL,KNDS,MANR,KHAG,BEPR,SWDV,NEU,JNJ,SNPD,VSH,MNKD,GV,CMBR,TKNG,CLA,CHF,GTBN,VDLR,SVE,CTGN,RRD,DKRD,SNRDH,MSDH,CSMTH
162,0,3274,1910,2901,2328,2397,1400,2487,1867,1162,7442,2022,1632,1245,1240,1935,1665,2646,2037,1775,1032,1277,680,1106,1248
163,0,3278,1910,2901,2333,2400,1400,2489,1864,1161,7444,2022,1630,1246,1242,1933,1665,2623,,,,,,,
164,0,3277,1910,2901,2334,2399,1402,2487,1865,1161,7443,2022,1631,1245,1241,1932,1663,2648,2041,1772,1032,1280,677,1106,1247
165,0,3275,1909,2901,2332,2398,1403,2485,1867,1157,7443,2023,1632,1244,1241,1933,1665,2649,2034,1774,1033,1277,677,1107,1249
166,0,3275,1911,2902,2332,2398,1402,2486,1866,1161,7442,2022,1632,1246,1239,1934,1664,2648,2037,1773,1034,1276,679,1104,1252
167,0,3276,1908,2904,2333,2397,1404,2488,1865,1162,7439,2023,1635,1243,1242,1934,1661,2651,2037,1774,1031,1278,675,1108,1251
168,0,3293,1922,2914,2346,2409,1408,2501,1876,1167,7488,2036,1643,1252,1249,1945,1677,2665,2050,1786,1040,1283,684,1112,1257
169,,,,,,,,,,,7479,2036,1642,1254,1251,1943,1678,2638,,,,,,,
170,0,3286,1922,2913,2346,2409,1409,2499,1875,1166,7489,2034,1642,1255,1249,1948,1672,2664,2047,1791,1034,1288,680,1115,1258
171,,,,,,,,,,,7483,2037,1641,1255,1250,1947,1677,2664,2050,1787,1039,1286,681,1112,1259
172,,,,,,2412,1408,2500,1876,1167,7488,2036,1644,1256,1247,1946,1676,2667,2050,1786,1040,1286,682,1114,1255
173,,,,,,,,,,,7483,2029,1644,1257,1247,1948,1676,2664,2051,1786,1038,1288,681,1113,1262
174,,,,,,,,,,,7486,2037,1643,1253,1249,1946,1675,2667,2048,1787,1038,1286,684,1111,1256
175,0,3290,1921,2917,2343,2408,1408,2500,1875,1167,7488,2034,1645,1253,1249,1946,1675,2665,2049,1788,1034,1285,679,1114,1258
